X,Retailer.Id,Retailer.Name,Complete.Address.x,City,State.x,Zip,Zip.4,Status.Description,Acivation.Date,Total.sales,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,calctotal,MatchedAddress,County,Tract,Block,Long,Lat,calctotal2
12574,26751,RITE AID DISC PHARM 1776,1012 WEALTHY ST SE,GRAND RAPIDS,MI,49506,1517,Deleted,8/23/95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1012 Wealthy St SE, GRAND RAPIDS, MI, 49506",81,2500,3022,-85.64383,42.95554,0
12577,26757,TOPP STOP,8768 BELDING RD NE,ROCKFORD,MI,49341,9361,Terminated,11/3/92,1596192.5,69049.5,122282.5,107536.5,104604.5,146910.5,164408,165383.5,138280.5,126836.5,136095,152903,161902.5,NA,NA,1596192.5,"8768 Belding Rd NE, ROCKFORD, MI, 49341",81,10904,2002,-85.451614,43.084934,1596.1925
12579,26761,CEDAR AMOCO FS # 5,4010 17 MILE RD,CEDAR SPRINGS,MI,49319,9451,Active,12/7/93,2051929.5,117589.5,162948.5,144697,159051.5,156956,134756,129205,129557.5,116385,109876.5,144522,178236,206594.5,161554.5,2051929.5,"4010 17 Mile Rd NE, CEDAR SPRINGS, MI, 49319",81,10200,1015,-85.570885,43.21981,2051.9295
12587,26779,LEMMEN OIL #205,544 68TH ST SW,GRAND RAPIDS,MI,49548,7122,Terminated,1/1/85,1449713.5,50966.5,98622.5,78989,99084,134537.5,116565,116222,111087,107698,109432.5,108260,130656.5,114075,73518,1449713.5,"544 68th St SW, GRAND RAPIDS, MI, 49548",81,14701,3023,-85.67631,42.840897,1449.7135
12588,26780,ADMIRAL SHELL #206,324 W MAIN ST,LOWELL,MI,49331,1610,Active,5/21/93,2516099.5,116500,178094.5,191043,169405,181161.5,171844.5,174693,153732,153338.5,159358.5,201418.5,263958.5,224095.5,177456.5,2516099.5,"324 W Main St SE, LOWELL, MI, 49331",81,12004,2063,-85.340996,42.933784,2516.0995
12606,26801,WESCO # 5,4908 S DIVISION AVE,KENTWOOD,MI,49548,4426,Deleted,11/21/92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"4908 S Division Ave, KENTWOOD, MI, 49548",81,12901,2022,-85.66437,42.874428,0
12609,26806,PLAINFIELD AMOCO FS # 6,3895 PLAINFIELD AVE NE,GRAND RAPIDS,MI,49525,2455,Active,12/28/96,2910588.5,40265,80915.5,86086,113848.5,190287,203957.5,261586.5,260215.5,269840,216895,259721.5,357663.5,339097,230210,2910588.5,"3895 Plainfield Ave NE, GRAND RAPIDS, MI, 49525",81,11200,1010,-85.62232,43.033756,2910.5885
12619,26834,DOWNTOWN MOBIL MART,248 CHERRY ST SW,GRAND RAPIDS,MI,49503,4004,Deleted,4/27/93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"248 Cherry St SW, GRAND RAPIDS, MI, 49503",81,2600,1015,-85.67456,42.959717,0
12626,26847,KAUFMAN QUICK STOP PHARM,1760 44TH ST SW,WYOMING,MI,49509,6422,Deleted,4/3/93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1760 44th St SW, WYOMING, MI, 49519",81,14502,1000,-85.7073,42.88445,0
12633,26856,CRESTON HEIGHTS MARKET,1403 PLAINFIELD AVE NE,GRAND RAPIDS,MI,49505,4916,Deleted,5/8/93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1403 Plainfield Ave NE, GRAND RAPIDS, MI, 49505",81,900,3028,-85.66479,42.988503,0
12635,26865,SPEEDWAY #5200,815 52ND ST SE,KENTWOOD,MI,49508,6001,Active,12/27/93,3611049.5,64208.5,128944,93532.5,260931.5,310200,270361,315202,333826,321103.5,294435.5,331538.5,348821,308404.5,229541,3611049.5,"815 52nd St SE, KENTWOOD, MI, 49508",81,12800,3014,-85.64493,42.869328,3611.0495
12638,26869,FRIENDLY FOOD SHOP #5,3271 ALPINE AVE NW,GRAND RAPIDS,MI,49544,1631,Deleted,10/21/94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3271 Alpine Ave NW, GRAND RAPIDS, MI, 49544",81,11500,4001,-85.68907,43.022224,0
12646,26877,BUCHANAN C-STORES,205 28TH ST SW,WYOMING,MI,49548,1001,Deleted,4/29/93,143151.5,80872,62279.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143151.5,"205 28th St SW, WYOMING, MI, 49548",81,13600,1017,-85.67125,42.91315,143.1515
12650,26891,SICILIANO'S CONVENIENCE,2840 LAKE MICHIGAN DR NW,GRAND RAPIDS,MI,49504,5857,Deleted,6/30/93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"2840 Lake Michigan Dr NW, GRAND RAPIDS, MI, 49504",81,1800,3009,-85.73817,42.971786,0
12661,26903,ADMIRAL PETROLEUM CO #13,2222 W MAIN ST,LOWELL,MI,49331,9504,Terminated,6/23/94,2055211,32185.5,75376,79367.5,73932.5,84242,109682,142071,150638,171454,191316.5,228083,283423,271668.5,161771.5,2055211,"2222 W Main St SE, LOWELL, MI, 49331",81,12004,4015,-85.363815,42.931118,2055.211
12670,26922,SUPERMERCADO MEXICO CO,1160 CHICAGO DR SW,WYOMING,MI,49509,1004,Deleted,5/11/94,4350,2700,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4350,"1160 Chicago Dr SW, WYOMING, MI, 49509",81,13300,3002,-85.69547,42.935474,4.35
12674,26930,ARCHIE'S II,3990 LAKE MICHIGAN DR NW,GRAND RAPIDS,MI,49544,4523,Deleted,10/8/93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"3990 Lake Michigan Dr NW, GRAND RAPIDS, MI, 49544",81,11702,2001,-85.766235,42.972176,0
12679,26943,ELI'S SHELL AUTOWASH INC,415 S DIVISION AVE,GRAND RAPIDS,MI,49503,5104,Active,3/11/94,5106645,290002,566547,521011,475722,321211.5,337243,382660.5,345910.5,321743,292520.5,310967,344441,325555.5,271110.5,5106645,"415 S Division Ave, GRAND RAPIDS, MI, 49503",81,2800,1005,-85.66766,42.95556,5106.645
12685,26950,SAND LAKE PARTY STORE,4 3RD ST,SAND LAKE,MI,49343,9203,Terminated,9/30/93,673281.5,121426.5,177616,159880.5,126410.5,87948,NA,NA,NA,NA,NA,NA,NA,NA,NA,673281.5,"4 3rd St, SAND LAKE, MI, 49343",81,10101,1051,-85.51431,43.292023,673.2815
12691,26968,FRANKS PLACE PARTY STORE,1900 CLYDE PARK AVE SW,GRAND RAPIDS,MI,49509,1585,Terminated,11/9/93,569114,89068.5,174534.5,133652.5,160608,11250.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,569114,"1900 Clyde Park Ave SW, GRAND RAPIDS, MI, 49509",81,3900,2013,-85.68635,42.930138,569.114
12693,26973,SPEEDWAY #2243,4390 BYRON CENTER AVE SW,WYOMING,MI,49509,4206,Active,6/24/97,3391130.5,117605.5,179817,180149.5,209541,233801.5,268044,285309,295531,276624,252818,277758.5,323255,277534,213342.5,3391130.5,"4390 Byron Center Ave SW, WYOMING, MI, 49519",81,13900,3006,-85.724106,42.884922,3391.1305
12694,26979,BYRON PETROLEUM,119 100TH ST SW,BYRON CENTER,MI,49315,9275,Terminated,12/11/93,1517543.5,64730,127899.5,120633,126085.5,120086.5,118772.5,116627.5,113349.5,129497,112609.5,122409,147043,97801,NA,1517543.5,"119 100th St SW, BYRON CENTER, MI, 49315",81,14602,4033,-85.667534,42.782684,1517.5435
12695,26981,NORTH COUNTRY STORE,17645 TYRONE AVE,KENT CITY,MI,49330,9413,Deleted,1/14/94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"17645 Tyrone Ave, KENT CITY, MI, 49330",81,10301,1004,-85.732285,43.28645,0
12696,26985,LITTLE JACKS CORNER,331 FRANKLIN ST SW,GRAND RAPIDS,MI,49503,4908,Deleted,10/14/94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"331 Franklin St SW, GRAND RAPIDS, MI, 49503",81,2600,1048,-85.67647,42.948856,0
12700,26990,ADMIRAL PETROLEUM CO #23,3221 S DIVISION AVE,GRAND RAPIDS,MI,49548,2168,Active,10/14/94,4570815,184854.5,292155.5,286243,316091,268564.5,246791.5,261404.5,305660.5,297518.5,310539,391974,433148,533204,442666.5,4570815,"3221 S Division Ave, GRAND RAPIDS, MI, 49548",81,13600,2000,-85.665634,42.905277,4570.815
12704,26999,D&W FOOD CENTER #214,4325 BRETON RD SE,GRAND RAPIDS,MI,49512,3859,Terminated,10/14/94,738787,108980,234581,303680.5,91545.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,738787,"4325 Breton Rd SE, GRAND RAPIDS, MI, 49512",81,4500,4013,-85.60655,42.886585,738.787
12706,27002,RITE AID DISC PHARM 3520,11 E DIVISION ST,SPARTA,MI,49345,1325,Terminated,9/1/95,37300,3350,5800,16800,11350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37300,"11 E Division St, SPARTA, MI, 49345",81,10402,1021,-85.70985,43.1608,37.3
12710,27009,ADMIRAL PETROLEUM CO #25,2366 ALPINE AVE NW,WALKER,MI,49544,1955,Active,2/25/95,2475640.5,76727,129282.5,146324,139633,127752,127452.5,137869.5,158109.5,165799.5,171365.5,244078,322619.5,281940,246688,2475640.5,"2366 Alpine Ave NW, WALKER, MI, 49544",81,11500,1065,-85.68858,43.006348,2475.6405
12717,27020,BOBS FOODLAND,3556 BYRON CENTER AVE SW,WYOMING,MI,49509,3260,Deleted,5/5/94,272125.5,212467.5,59658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272125.5,"3556 Byron Center Ave SW, WYOMING, MI, 49519",81,13802,4004,-85.724525,42.90011,272.1255
12721,27032,WAALKES FOOD MARKET,1155 CHICAGO DR SW,WYOMING,MI,49509,1003,Deleted,4/14/95,152329,152329,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152329,"1155 Chicago Dr SW, WYOMING, MI, 49509",81,13300,1037,-85.69534,42.9355,152.329
12727,27041,SMITTYS PARTY STORE,1489 LAKE DR SE,GRAND RAPIDS,MI,49506,1711,Active,6/21/94,3564303,202029,310252.5,302543,285020.5,298617,337810,330734.5,326930,215184,178724,199980,236177,194542.5,145759,3564303,"1489 Lake Dr SE, GRAND RAPIDS, MI, 49506",81,2400,2010,-85.63245,42.955982,3564.303
12729,27046,RITE AID DISC PHARM 4429,6791 CASCADE RD SE,GRAND RAPIDS,MI,49546,6849,Deleted,8/24/95,750,750,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,750,"6791 Cascade Rd SE, GRAND RAPIDS, MI, 49546",81,12201,3012,-85.498924,42.91312,0.75
12731,27053,JAKE'S FOOD MARKET,758 ALGER ST SW,WYOMING,MI,49509,1553,Deleted,10/21/97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"758 Alger St SW, WYOMING, MI, 49509",81,13500,3005,-85.68474,42.920605,0
12739,27070,SNACK SHOP,5155 28TH ST SE,GRAND RAPIDS,MI,49512,2050,Deleted,8/1/95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"5155 28th St SE, GRAND RAPIDS, MI, 49512",81,12203,1012,-85.54134,42.91273,0
12741,27083,84TH ST AMOCO FOOD SHOP,284 84TH ST SW,BYRON CENTER,MI,49315,9305,Deleted,10/30/97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"284 84th St SW, BYRON CENTER, MI, 49315",81,14602,4026,-85.672386,42.811802,0
12742,27084,CRYSTAL FLASH #33,9266 CHERRY VALLEY AVE S,CALEDONIA,MI,49316,9556,Deleted,4/6/95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"9266 Cherry Valley Ave SE, CALEDONIA, MI, 49316",81,14807,3000,-85.50697,42.79789,0
12745,27088,CHERRY HILL MARKET LTD,721 CHERRY ST SE,GRAND RAPIDS,MI,49503,4744,Deleted,4/12/95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"721 Cherry St SE, GRAND RAPIDS, MI, 49503",81,2500,1007,-85.65088,42.95953,0
